index,window_idx,stock_idx,ticker,score,start_date,end_date
103,39,2,LLY,9.86399,2023-07-07,2023-07-11
104,39,29,CRM,9.73059,2023-07-07,2023-07-11
105,40,2,LLY,10.557,2023-07-12,2023-07-14
106,40,10,NVDA,11.4185,2023-07-12,2023-07-14
107,40,21,UNH,11.716,2023-07-12,2023-07-14
108,41,10,NVDA,9.05685,2023-07-17,2023-07-19
109,41,12,XOM,9.60434,2023-07-17,2023-07-19
110,41,14,NFLX,9.11883,2023-07-17,2023-07-19
111,41,25,TMUS,9.13243,2023-07-17,2023-07-19
112,42,16,TSLA,10.86,2023-07-20,2023-07-24
113,42,28,JNJ,10.7962,2023-07-20,2023-07-24
114,43,0,V,9.68099,2023-07-25,2023-07-27
115,43,18,META,9.61227,2023-07-25,2023-07-27
116,44,12,XOM,8.8024,2023-07-28,2023-08-01
117,44,22,PLTR,10.1299,2023-07-28,2023-08-01
118,44,23,MA,8.94438,2023-07-28,2023-08-01
119,45,7,AMZN,10.7641,2023-08-02,2023-08-04
120,45,10,NVDA,9.39814,2023-08-02,2023-08-04
121,45,24,AAPL,10.2619,2023-08-02,2023-08-04
122,46,2,LLY,12.492,2023-08-07,2023-08-09
123,46,27,BRK-B,11.376,2023-08-07,2023-08-09
124,47,10,NVDA,11.3855,2023-08-10,2023-08-14
125,48,10,NVDA,10.0396,2023-08-15,2023-08-17
126,48,11,HD,10.5172,2023-08-15,2023-08-17
127,49,10,NVDA,12.0212,2023-08-18,2023-08-22
128,49,28,JNJ,10.9925,2023-08-18,2023-08-22
129,50,4,ABBV,9.43612,2023-08-23,2023-08-25
130,50,10,NVDA,11.462,2023-08-23,2023-08-25
131,51,2,LLY,7.88018,2023-08-28,2023-08-30
132,51,10,NVDA,9.03984,2023-08-28,2023-08-30
133,52,8,KO,11.9133,2023-08-31,2023-09-05
134,52,21,UNH,12.1777,2023-08-31,2023-09-05
135,52,28,JNJ,10.6252,2023-08-31,2023-09-05
136,53,2,LLY,10.2477,2023-09-06,2023-09-08
137,53,10,NVDA,10.2559,2023-09-06,2023-09-08
138,53,24,AAPL,10.0431,2023-09-06,2023-09-08
139,54,5,ORCL,12.1028,2023-09-11,2023-09-13
140,54,10,NVDA,11.1662,2023-09-11,2023-09-13
141,54,14,NFLX,10.4497,2023-09-11,2023-09-13
142,55,0,V,12.0179,2023-09-14,2023-09-18
143,55,10,NVDA,10.5563,2023-09-14,2023-09-18
144,55,14,NFLX,10.899,2023-09-14,2023-09-18
145,56,10,NVDA,9.32725,2023-09-19,2023-09-21
146,56,21,UNH,11.8088,2023-09-19,2023-09-21
147,57,4,ABBV,8.53444,2023-09-22,2023-09-26
148,57,10,NVDA,8.68143,2023-09-22,2023-09-26
149,57,21,UNH,11.7795,2023-09-22,2023-09-26
150,58,3,COST,9.82064,2023-09-27,2023-09-29
151,58,10,NVDA,9.75921,2023-09-27,2023-09-29
152,58,12,XOM,10.5268,2023-09-27,2023-09-29
153,58,22,PLTR,9.65417,2023-09-27,2023-09-29
154,59,10,NVDA,11.3839,2023-10-02,2023-10-04
155,60,8,KO,11.4444,2023-10-05,2023-10-09
156,60,26,WMT,10.4675,2023-10-05,2023-10-09
157,61,10,NVDA,9.26882,2023-10-10,2023-10-12
158,61,12,XOM,10.3112,2023-10-10,2023-10-12
159,61,14,NFLX,10.6543,2023-10-10,2023-10-12
160,62,10,NVDA,11.2075,2023-10-13,2023-10-17
161,62,14,NFLX,9.27118,2023-10-13,2023-10-17
162,63,6,PG,11.2302,2023-10-18,2023-10-20
163,63,14,NFLX,11.9687,2023-10-18,2023-10-20
164,63,16,TSLA,11.3552,2023-10-18,2023-10-20
165,64,8,KO,11.5611,2023-10-23,2023-10-25
166,64,9,MSFT,11.401,2023-10-23,2023-10-25
167,64,26,WMT,10.3202,2023-10-23,2023-10-25
168,65,7,AMZN,9.62086,2023-10-26,2023-10-30
169,65,8,KO,9.00943,2023-10-26,2023-10-30
170,66,2,LLY,9.3159,2023-10-31,2023-11-02
171,66,10,NVDA,9.1889,2023-10-31,2023-11-02
172,66,22,PLTR,9.33442,2023-10-31,2023-11-02
173,67,4,ABBV,7.63644,2023-11-03,2023-11-07
174,67,10,NVDA,7.92003,2023-11-03,2023-11-07
175,67,12,XOM,8.89946,2023-11-03,2023-11-07
176,67,27,BRK-B,7.76564,2023-11-03,2023-11-07
177,68,4,ABBV,9.13938,2023-11-08,2023-11-10
178,68,10,NVDA,8.95423,2023-11-08,2023-11-10
179,68,12,XOM,9.78389,2023-11-08,2023-11-10
180,69,4,ABBV,9.85781,2023-11-13,2023-11-15
181,69,10,NVDA,9.1677,2023-11-13,2023-11-15
182,69,28,JNJ,9.12651,2023-11-13,2023-11-15
183,70,21,UNH,9.50671,2023-11-16,2023-11-20
184,70,26,WMT,13.3334,2023-11-16,2023-11-20
185,71,10,NVDA,11.8831,2023-11-21,2023-11-24
186,71,22,PLTR,8.81279,2023-11-21,2023-11-24
187,71,26,WMT,8.71663,2023-11-21,2023-11-24
188,72,10,NVDA,10.4724,2023-11-27,2023-11-29
189,72,20,AVGO,9.51292,2023-11-27,2023-11-29
190,73,10,NVDA,11.0831,2023-11-30,2023-12-04
191,73,29,CRM,10.6587,2023-11-30,2023-12-04
192,74,3,COST,10.2035,2023-12-05,2023-12-07
193,74,5,ORCL,10.2365,2023-12-05,2023-12-07
194,74,6,PG,10.4196,2023-12-05,2023-12-07
195,74,24,AAPL,10.7844,2023-12-05,2023-12-07
196,75,5,ORCL,12.1091,2023-12-08,2023-12-12
197,75,20,AVGO,11.2887,2023-12-08,2023-12-12
198,76,1,BAC,11.1894,2023-12-13,2023-12-15
199,76,5,ORCL,10.8384,2023-12-13,2023-12-15
200,76,16,TSLA,10.8132,2023-12-13,2023-12-15
201,76,21,UNH,11.5308,2023-12-13,2023-12-15
202,77,10,NVDA,8.66598,2023-12-18,2023-12-20
203,77,21,UNH,9.87645,2023-12-18,2023-12-20
204,78,10,NVDA,7.49205,2023-12-21,2023-12-26
205,78,21,UNH,7.00091,2023-12-21,2023-12-26
206,78,24,AAPL,7.25416,2023-12-21,2023-12-26
207,78,25,TMUS,7.31107,2023-12-21,2023-12-26
208,79,10,NVDA,7.9811,2023-12-27,2023-12-29
209,79,11,HD,7.90732,2023-12-27,2023-12-29
210,79,12,XOM,7.56221,2023-12-27,2023-12-29
211,79,16,TSLA,8.00125,2023-12-27,2023-12-29
212,79,24,AAPL,8.02862,2023-12-27,2023-12-29
213,80,2,LLY,11.7985,2024-01-02,2024-01-04
214,81,1,BAC,9.49696,2024-01-05,2024-01-09
215,81,10,NVDA,11.6849,2024-01-05,2024-01-09
216,82,1,BAC,11.4131,2024-01-10,2024-01-12
217,82,16,TSLA,11.3919,2024-01-10,2024-01-12
218,82,21,UNH,10.4046,2024-01-10,2024-01-12
219,83,1,BAC,9.47429,2024-01-16,2024-01-18
220,83,10,NVDA,9.63919,2024-01-16,2024-01-18
221,83,16,TSLA,10.106,2024-01-16,2024-01-18
222,83,21,UNH,9.557,2024-01-16,2024-01-18
223,84,6,PG,11.1661,2024-01-19,2024-01-23
224,84,13,PM,10.6136,2024-01-19,2024-01-23
225,84,21,UNH,10.2301,2024-01-19,2024-01-23
226,85,8,KO,10.7979,2024-01-24,2024-01-26
227,85,16,TSLA,12.9368,2024-01-24,2024-01-26
228,86,1,BAC,9.19979,2024-01-29,2024-01-31
229,86,16,TSLA,9.26571,2024-01-29,2024-01-31
230,86,17,GOOGL,9.2065,2024-01-29,2024-01-31
231,86,23,MA,9.22417,2024-01-29,2024-01-31
232,87,7,AMZN,10.7011,2024-02-01,2024-02-05
233,87,10,NVDA,11.3193,2024-02-01,2024-02-05
234,87,18,META,10.9113,2024-02-01,2024-02-05
235,87,24,AAPL,10.6717,2024-02-01,2024-02-05
236,88,10,NVDA,9.8313,2024-02-06,2024-02-08
237,88,13,PM,9.8339,2024-02-06,2024-02-08
238,88,22,PLTR,11.8394,2024-02-06,2024-02-08
239,89,10,NVDA,9.33695,2024-02-09,2024-02-13
240,89,13,PM,8.1377,2024-02-09,2024-02-13
241,90,10,NVDA,10.0396,2024-02-14,2024-02-16
242,90,14,NFLX,10.2904,2024-02-14,2024-02-16
243,91,10,NVDA,11.808,2024-02-20,2024-02-22
244,91,26,WMT,10.9419,2024-02-20,2024-02-22
245,92,10,NVDA,9.52515,2024-02-23,2024-02-27
246,92,17,GOOGL,10.6586,2024-02-23,2024-02-27
247,92,19,GOOG,10.4936,2024-02-23,2024-02-27
248,93,21,UNH,12.1141,2024-02-28,2024-03-01
249,93,24,AAPL,9.42942,2024-02-28,2024-03-01
250,94,10,NVDA,10.4485,2024-03-04,2024-03-06
251,94,16,TSLA,10.993,2024-03-04,2024-03-06
252,94,24,AAPL,11.0862,2024-03-04,2024-03-06
253,94,25,TMUS,10.7294,2024-03-04,2024-03-06
254,95,3,COST,10.4876,2024-03-07,2024-03-11
255,95,10,NVDA,12.0733,2024-03-07,2024-03-11
256,95,13,PM,10.241,2024-03-07,2024-03-11
257,95,18,META,10.2382,2024-03-07,2024-03-11
258,96,5,ORCL,9.95238,2024-03-12,2024-03-14
259,96,10,NVDA,9.55684,2024-03-12,2024-03-14
260,96,16,TSLA,9.33305,2024-03-12,2024-03-14
261,97,10,NVDA,9.44776,2024-03-15,2024-03-19
262,97,16,TSLA,9.616,2024-03-15,2024-03-19
263,97,17,GOOGL,9.16957,2024-03-15,2024-03-19
264,97,28,JNJ,8.832,2024-03-15,2024-03-19
265,98,4,ABBV,10.4744,2024-03-20,2024-03-22
266,98,10,NVDA,9.62536,2024-03-20,2024-03-22
267,98,24,AAPL,9.46063,2024-03-20,2024-03-22
268,99,6,PG,8.96675,2024-03-25,2024-03-27
269,99,10,NVDA,10.4223,2024-03-25,2024-03-27
270,100,12,XOM,10.4137,2024-03-28,2024-04-02
271,100,21,UNH,10.0642,2024-03-28,2024-04-02
272,100,22,PLTR,9.95357,2024-03-28,2024-04-02
273,101,6,PG,10.3836,2024-04-03,2024-04-05
274,101,7,AMZN,10.2184,2024-04-03,2024-04-05
275,101,12,XOM,9.95217,2024-04-03,2024-04-05
276,102,10,NVDA,10.5274,2024-04-08,2024-04-10
277,103,15,JPM,10.7809,2024-04-11,2024-04-15
278,103,24,AAPL,12.3092,2024-04-11,2024-04-15
279,104,21,UNH,13.081,2024-04-16,2024-04-18
280,105,10,NVDA,11.1276,2024-04-19,2024-04-23
281,105,13,PM,11.763,2024-04-19,2024-04-23
282,105,25,TMUS,10.9011,2024-04-19,2024-04-23
283,106,17,GOOGL,10.9649,2024-04-24,2024-04-26
284,106,18,META,11.2732,2024-04-24,2024-04-26
285,106,19,GOOG,11.1263,2024-04-24,2024-04-26
286,107,2,LLY,10.5406,2024-04-29,2024-05-01
287,107,16,TSLA,10.8043,2024-04-29,2024-05-01
288,107,23,MA,9.64817,2024-04-29,2024-05-01
289,108,22,PLTR,10.0895,2024-05-02,2024-05-06
290,108,24,AAPL,10.5283,2024-05-02,2024-05-06
291,108,25,TMUS,9.26001,2024-05-02,2024-05-06
292,109,10,NVDA,8.63825,2024-05-07,2024-05-09
293,109,15,JPM,8.81692,2024-05-07,2024-05-09
294,109,22,PLTR,10.1615,2024-05-07,2024-05-09
295,110,5,ORCL,8.42674,2024-05-10,2024-05-14
296,110,16,TSLA,10.1285,2024-05-10,2024-05-14
297,110,22,PLTR,8.7901,2024-05-10,2024-05-14
298,111,7,AMZN,10.6932,2024-05-15,2024-05-17
299,111,10,NVDA,9.27843,2024-05-15,2024-05-17
300,111,26,WMT,10.0172,2024-05-15,2024-05-17
301,112,10,NVDA,10.0198,2024-05-20,2024-05-22
302,112,16,TSLA,9.5801,2024-05-20,2024-05-22
303,113,10,NVDA,14.4061,2024-05-23,2024-05-28
304,114,10,NVDA,12.14,2024-05-29,2024-05-31
305,114,25,TMUS,12.2396,2024-05-29,2024-05-31
306,114,29,CRM,11.2527,2024-05-29,2024-05-31
307,115,10,NVDA,9.40858,2024-06-03,2024-06-05
308,115,13,PM,8.98538,2024-06-03,2024-06-05
309,115,20,AVGO,8.9686,2024-06-03,2024-06-05
310,116,10,NVDA,8.99678,2024-06-06,2024-06-10
311,116,16,TSLA,8.17183,2024-06-06,2024-06-10
312,116,24,AAPL,8.81677,2024-06-06,2024-06-10
313,117,15,JPM,10.5033,2024-06-11,2024-06-13
314,117,16,TSLA,12.3751,2024-06-11,2024-06-13
315,117,24,AAPL,11.6714,2024-06-11,2024-06-13
316,118,10,NVDA,9.73878,2024-06-14,2024-06-18
317,118,12,XOM,9.24312,2024-06-14,2024-06-18
318,118,13,PM,9.63911,2024-06-14,2024-06-18
319,118,14,NFLX,9.87024,2024-06-14,2024-06-18
320,119,10,NVDA,11.4786,2024-06-20,2024-06-24
321,120,1,BAC,9.04958,2024-06-25,2024-06-27
322,120,7,AMZN,9.19839,2024-06-25,2024-06-27
323,120,10,NVDA,9.78272,2024-06-25,2024-06-27
324,120,11,HD,9.22935,2024-06-25,2024-06-27
325,121,6,PG,10.0571,2024-06-28,2024-07-02
326,121,16,TSLA,11.27,2024-06-28,2024-07-02
327,121,21,UNH,9.95178,2024-06-28,2024-07-02
328,122,4,ABBV,9.79005,2024-07-03,2024-07-08
329,122,10,NVDA,9.0688,2024-07-03,2024-07-08
330,122,16,TSLA,9.20773,2024-07-03,2024-07-08
331,123,12,XOM,10.3563,2024-07-09,2024-07-11
332,123,23,MA,10.5163,2024-07-09,2024-07-11
333,124,1,BAC,9.16078,2024-07-12,2024-07-16
334,124,7,AMZN,9.27301,2024-07-12,2024-07-16
335,124,14,NFLX,9.20505,2024-07-12,2024-07-16
336,124,21,UNH,9.72028,2024-07-12,2024-07-16
337,125,2,LLY,11.21,2024-07-17,2024-07-19
338,125,10,NVDA,11.3628,2024-07-17,2024-07-19
339,125,20,AVGO,10.9656,2024-07-17,2024-07-19
340,126,13,PM,9.87553,2024-07-22,2024-07-24
341,126,25,TMUS,9.39841,2024-07-22,2024-07-24
342,127,4,ABBV,10.2935,2024-07-25,2024-07-29
343,127,8,KO,9.28222,2024-07-25,2024-07-29
344,127,13,PM,9.54182,2024-07-25,2024-07-29
345,127,29,CRM,9.97016,2024-07-25,2024-07-29
346,128,1,BAC,9.88434,2024-07-30,2024-08-01
347,128,6,PG,11.0089,2024-07-30,2024-08-01
348,128,10,NVDA,10.6667,2024-07-30,2024-08-01
349,128,23,MA,9.91831,2024-07-30,2024-08-01
350,129,8,KO,10.348,2024-08-02,2024-08-06
351,129,21,UNH,9.83484,2024-08-02,2024-08-06
352,129,25,TMUS,10.444,2024-08-02,2024-08-06
353,130,2,LLY,9.59499,2024-08-07,2024-08-09
354,130,3,COST,8.36152,2024-08-07,2024-08-09
355,130,10,NVDA,8.041,2024-08-07,2024-08-09
356,130,22,PLTR,8.08951,2024-08-07,2024-08-09
357,131,3,COST,7.36208,2024-08-12,2024-08-14
358,131,10,NVDA,7.91812,2024-08-12,2024-08-14
359,131,11,HD,7.49334,2024-08-12,2024-08-14
360,131,16,TSLA,7.44328,2024-08-12,2024-08-14
361,131,28,JNJ,7.33921,2024-08-12,2024-08-14
362,132,6,PG,7.69583,2024-08-15,2024-08-19
363,132,10,NVDA,7.69444,2024-08-15,2024-08-19
364,132,16,TSLA,7.24269,2024-08-15,2024-08-19
365,132,26,WMT,7.68143,2024-08-15,2024-08-19
366,132,28,JNJ,7.1625,2024-08-15,2024-08-19
367,133,10,NVDA,8.76499,2024-08-20,2024-08-22
368,133,12,XOM,11.7589,2024-08-20,2024-08-22
369,134,3,COST,8.86153,2024-08-23,2024-08-27
370,134,10,NVDA,8.87136,2024-08-23,2024-08-27
371,134,18,META,9.0304,2024-08-23,2024-08-27
372,135,10,NVDA,12.1151,2024-08-28,2024-08-30
373,135,29,CRM,10.4794,2024-08-28,2024-08-30
374,136,6,PG,10.8208,2024-09-03,2024-09-05
375,136,10,NVDA,11.9079,2024-09-03,2024-09-05
376,136,16,TSLA,10.7876,2024-09-03,2024-09-05
377,137,5,ORCL,12.3257,2024-09-06,2024-09-10
378,137,15,JPM,10.8729,2024-09-06,2024-09-10
379,137,22,PLTR,12.2564,2024-09-06,2024-09-10
380,138,5,ORCL,8.76068,2024-09-11,2024-09-13
381,138,10,NVDA,9.21697,2024-09-11,2024-09-13
382,139,13,PM,9.87592,2024-09-16,2024-09-18
383,139,24,AAPL,11.1794,2024-09-16,2024-09-18
384,140,6,PG,8.957,2024-09-19,2024-09-23
385,140,13,PM,9.61302,2024-09-19,2024-09-23
386,140,29,CRM,8.96742,2024-09-19,2024-09-23
387,141,0,V,10.4399,2024-09-24,2024-09-26
388,141,10,NVDA,10.2864,2024-09-24,2024-09-26
389,141,28,JNJ,9.25274,2024-09-24,2024-09-26
390,142,2,LLY,10.4244,2024-09-27,2024-10-01
391,142,3,COST,9.85199,2024-09-27,2024-10-01
392,143,21,UNH,9.79796,2024-10-02,2024-10-04
393,143,22,PLTR,10.4453,2024-10-02,2024-10-04
394,144,10,NVDA,10.7618,2024-10-07,2024-10-09
395,144,22,PLTR,9.51198,2024-10-07,2024-10-09
396,145,1,BAC,9.45372,2024-10-10,2024-10-14
397,145,16,TSLA,12.5278,2024-10-10,2024-10-14
398,146,14,NFLX,10.0758,2024-10-15,2024-10-17
399,146,21,UNH,11.5746,2024-10-15,2024-10-17
400,147,10,NVDA,10.167,2024-10-18,2024-10-22
401,147,11,HD,9.53484,2024-10-18,2024-10-22
402,147,13,PM,10.5913,2024-10-18,2024-10-22
403,147,14,NFLX,9.68719,2024-10-18,2024-10-22
404,148,16,TSLA,12.8382,2024-10-23,2024-10-25
405,148,25,TMUS,10.6969,2024-10-23,2024-10-25
406,149,2,LLY,11.6477,2024-10-28,2024-10-30
407,149,12,XOM,10.7596,2024-10-28,2024-10-30
408,149,17,GOOGL,11.8103,2024-10-28,2024-10-30
409,149,19,GOOG,11.5976,2024-10-28,2024-10-30
410,150,4,ABBV,10.7062,2024-10-31,2024-11-04
411,150,7,AMZN,11.3094,2024-10-31,2024-11-04
412,150,12,XOM,9.96042,2024-10-31,2024-11-04
413,151,6,PG,11.2291,2024-11-05,2024-11-07
414,151,13,PM,11.673,2024-11-05,2024-11-07
415,151,22,PLTR,11.9119,2024-11-05,2024-11-07
416,152,4,ABBV,11.7638,2024-11-08,2024-11-12
417,152,28,JNJ,11.087,2024-11-08,2024-11-12
418,153,8,KO,8.16226,2024-11-13,2024-11-15
419,153,28,JNJ,9.7083,2024-11-13,2024-11-15
420,154,10,NVDA,9.64745,2024-11-18,2024-11-20
421,154,14,NFLX,9.08081,2024-11-18,2024-11-20
422,154,26,WMT,9.65894,2024-11-18,2024-11-20
423,155,10,NVDA,11.1325,2024-11-21,2024-11-25
424,155,17,GOOGL,11.5656,2024-11-21,2024-11-25
425,155,19,GOOG,11.3997,2024-11-21,2024-11-25
426,156,10,NVDA,10.5038,2024-11-26,2024-11-29
427,156,12,XOM,9.58132,2024-11-26,2024-11-29
428,156,20,AVGO,9.38041,2024-11-26,2024-11-29
429,157,12,XOM,9.37937,2024-12-02,2024-12-04
430,157,18,META,9.79877,2024-12-02,2024-12-04
431,157,22,PLTR,9.27745,2024-12-02,2024-12-04
432,157,29,CRM,9.53533,2024-12-02,2024-12-04
433,158,21,UNH,13.0294,2024-12-05,2024-12-09
434,159,17,GOOGL,11.9527,2024-12-10,2024-12-12
435,159,19,GOOG,11.6689,2024-12-10,2024-12-12
436,160,10,NVDA,9.88629,2024-12-13,2024-12-17
437,160,20,AVGO,12.8318,2024-12-13,2024-12-17
438,161,16,TSLA,9.85067,2024-12-18,2024-12-20
439,161,22,PLTR,8.81329,2024-12-18,2024-12-20
440,161,24,AAPL,8.69855,2024-12-18,2024-12-20
441,162,10,NVDA,8.35138,2024-12-23,2024-12-26
442,162,22,PLTR,9.08495,2024-12-23,2024-12-26
