Price,Close,High,Low,Open,Volume
2024-03-04,242.92845153808594,244.9949579961805,240.15315438638132,241.8602690792848,806300
2024-03-05,239.3046112060547,243.53743080530373,238.73556787333476,241.4010505642723,1122900
2024-03-06,241.3910675048828,243.16805592534982,240.1631519633204,240.56246938453287,688000
2024-03-07,243.90679931640625,245.00492979353322,242.0798924893964,243.08817883560056,851800
2024-03-08,241.65061950683594,244.765338008575,240.10323785983704,243.0981641831963,802000
2024-03-11,238.7355499267578,241.73047612734422,236.16990440273963,240.37277564042574,843100
2024-03-12,241.36111450195312,242.09985323931954,237.41779792479556,239.2047639125413,777200
2024-03-13,241.4210205078125,242.61898802903545,240.1032455713788,241.09157677370408,484600
2024-03-14,241.9501190185547,245.01491908352466,239.41442139378782,243.92676615804905,714800
2024-03-15,242.33946228027344,243.57737068166566,239.6640019961791,239.6640019961791,1007800
2024-03-18,243.39767456054688,246.5423565297665,242.26958070273645,244.58566451116423,527600
2024-03-19,245.97329711914062,246.28277040042266,242.19969118889506,242.94842276605462,583400
2024-03-20,249.08802795410156,249.95656698509285,245.25452574491473,245.58396948315507,822400
2024-03-21,255.8665313720703,256.0163020637424,250.71526957901807,251.82339294818868,973900
2024-03-22,255.4871826171875,257.08446753457264,254.77839190978665,256.1560476756716,910500
2024-03-25,255.10781860351562,256.0761945704651,252.7218612317697,255.06789295488062,693100
2024-03-26,258.74169921875,260.1593112937108,255.57707699540478,256.60533396692915,1093200
2024-03-27,259.3106994628906,261.5668870013591,257.96297654861996,261.4969980765826,626400
2024-03-28,259.3605651855469,260.89796897834384,258.6218265618475,259.2507658618991,745700
2024-04-01,258.8215637207031,259.9296719270485,256.59532400437524,259.42052466144736,810000
2024-04-02,255.66688537597656,256.49546826070036,252.26264877061004,256.49546826070036,916900
2024-04-03,261.8464660644531,262.6650562588138,254.84831049463529,254.84831049463529,862200
2024-04-04,257.8531799316406,265.37044372771726,256.44556091440353,264.50191997507363,969100
2024-04-05,262.7548828125,264.5518264282678,259.0511353070086,259.0511353070086,652100
2024-04-08,261.9060363769531,264.0331663836191,260.37810264315465,263.5937578152755,534600
2024-04-09,256.053955078125,263.1643410113978,253.30766649299684,262.83479979079465,1026800
2024-04-10,253.95677185058594,256.69307913153864,248.97350141663824,250.31168914836644,749900
2024-04-11,257.6517639160156,257.8814644444943,251.60992686957115,253.84690891025053,617500
2024-04-12,254.3462371826172,257.5219376953977,252.59859922744468,255.64448556838406,632500
2024-04-15,248.5540771484375,259.35946567015947,247.9349188272234,258.3608153517137,794700
2024-04-16,248.35433959960938,249.7424628738505,244.96891577318283,247.4156059019712,756300
2024-04-17,245.62802124023438,249.92220510799132,242.69198707853357,248.73382411519222,911900
2024-04-18,245.348388671875,251.2703926401765,244.14003039012462,246.58672048057693,1114500
2024-04-19,242.93167114257812,247.87500241276143,242.2825545304301,246.32709137049164,1134700
